,MMSI,duration_max,duration_min,max_accel,min_accel,max_rot,min_rot,target
60,232007052,14167.0,4953.0,4.901960784313722e-06,-1.709401709401711e-05,17.538461538461526,0.0,0.0
61,232011317,17747.0,3087.0,9.259259259259227e-06,-2.450980392156861e-06,7.799999999999983,0.0,0.0
62,232012089,7221.0,239.0,1.0548523206751017e-06,-4.0257648953300985e-07,0.8695652173913044,0.0,0.0
63,235009410,41739.0,41739.0,4.074074074074074e-06,-4.4802867383512545e-06,22.0,0.0,0.0
64,235010710,12564.0,252.0,2.3148148148147657e-06,-4.629629629629695e-06,5.454545454545454,0.0,0.0
65,235076283,1395687.0,0.0,4.0574282147315844e-06,-3.968253968253968e-06,36.264705882352914,0.0,0.0
66,235086166,12539.0,1460.0,6.944444444444419e-07,-3.4722222222222097e-06,1.799999999999995,0.0,0.0
67,235090269,20231.0,130.0,2.5252525252525164e-06,-2.7777777777778173e-06,4.6666666666666385,0.0,0.0
68,235093185,17579.0,1099.0,1.5873015873015888e-06,-1.406469760900142e-06,3.4285714285714164,0.0,0.0
69,235093569,3042101.0,360.0,3.968253968254025e-06,-2.5252525252525313e-06,9.428571428571379,0.0,0.0
70,235093619,18031.0,960.0,2.3148148148148474e-06,-2.946127946127943e-06,14.999999999999998,0.0,0.0
71,235098885,2465.0,1181.0,1.1574074074074101e-06,-7.824726134585262e-07,2.6666666666667047,0.0,0.0
72,235101304,10739.0,2827.0,1.2820512820512852e-06,-3.086419753086409e-06,3.913043478260869,0.0,0.0
73,235102466,17071.0,411.0,1.054852320675108e-06,-9.259259259259227e-07,1.7391304347826089,0.0,0.0
74,235102677,10476.0,402.0,4.6296296296296135e-06,-3.36700336700337e-06,4.181818181818202,0.0,0.0
75,235102678,11100.0,1002.0,5.555555555555635e-06,-2.946127946127943e-06,3.3333333333333335,0.0,0.0
76,236111696,2640.0,2640.0,3.516174402250339e-07,-2.923906075365141e-09,3.1714285714285615,0.14654377880184286,0.0
77,240284000,67110.0,4040.0,1.9890260631001377e-05,-2.4154589371980676e-05,69.56521739130436,0.0,0.0
78,240679000,20659.0,171.0,3.086419753086409e-06,-2.7777777777777677e-06,6.0,0.0,0.0
79,241116000,20320.0,3330.0,3.0864197530864636e-06,-7.824726134585331e-07,5.999999999999999,0.0,0.0
80,241282000,20001.0,438.0,1.0683760683760646e-06,-2.7777777777777677e-06,7.741935483870969,0.0,0.0
81,241330000,242101.0,4040.0,2.4999999999999998e-06,-2.160493827160497e-06,24.606741573033705,0.0,0.0
82,241468000,604458.0,604458.0,5.544853987359955e-10,-2.5720164609053863e-08,0.5,0.014851485148514853,0.0
83,241529000,23811.0,109.0,3.5211267605633745e-06,-1.944444444444442e-05,20.40000000000003,0.0,0.0
84,241530000,1044299.0,2600.0,1.2345679012345675e-05,-3.6231884057971025e-06,61.999999999999886,0.0,0.0
85,241643000,4189.0,4189.0,5.555555555555536e-07,-6.858710562414242e-07,2.4857142857142662,0.0,0.0
86,244870311,16478.0,959.0,1.5432098765432318e-06,-3.4722222222222097e-06,5.0,0.0,0.0
87,244958000,667.0,667.0,3.805175038051805e-07,-4.208754208754268e-07,1.1818181818181792,0.1775147928994083,0.0
88,245206000,5743.0,1519.0,4.208754208754268e-07,-4.145936981757862e-07,1.416666666666681,0.0,0.0
89,245634000,13689.0,7021.0,1.2626262626262582e-06,-9.832841691248779e-07,18.00000000000002,0.0,0.0
90,246662000,14027.0,170.0,2.3148148148148067e-06,-2.178649237472769e-06,14.773584905660375,0.0,0.0
91,248089000,24079.0,270.0,3.912363067292645e-06,-4.025764895330113e-06,5.9999999999998135,0.0,0.0
92,248389000,20279.0,110.0,2.5252525252525164e-06,-1.2077294685990368e-06,10.19999999999993,0.0,0.0
93,248390000,17474.0,1779.0,4.025764895330113e-06,-4.365079365079372e-06,5.999999999999902,0.0,0.0
94,248426000,11730.0,780.0,1.6666666666666708e-05,-2.3809523809523725e-05,8.999999999999773,0.0,0.0
95,248473000,14718.0,0.0,5.401234567901229e-06,-4.6296296296296296e-06,10.400000000000006,0.0,0.0
96,248492000,23710.0,2650.0,2.923976608187124e-06,-4.385964912280686e-06,11.803278688524589,0.0,0.0
97,248649000,10159.0,1218.0,1.9561815336463224e-06,-2.3148148148148474e-06,6.000000000000227,0.0,0.0
98,248699000,11292.0,0.0,2.1367521367521674e-06,-1.7806267806267806e-06,9.230769230769232,0.0,0.0
99,248895000,14614.0,941.0,9.259259259259227e-06,-1.3888888888889086e-06,12.954545454545453,0.0,0.0
100,248951000,13400.0,1339.0,1.3661202185792382e-06,-2.8735632183908114e-06,6.299999999999982,0.0,0.0
101,249055000,1276595.0,2000.0,1.5649452269170593e-06,-1.8518518518518453e-06,10.200000000000015,0.0,0.0
102,249167000,12660.0,1116.0,2.3148148148148474e-06,-6.944444444444461e-06,18.499999999999943,0.0,0.0
103,249202000,19053.0,822.0,7.359924026590692e-06,-7.936507936507909e-06,26.571428571428644,0.0,0.0
104,249460000,13050.0,0.0,1.0416666666666631e-06,-1.7146776406035665e-06,8.571428571428571,0.0,0.0
105,249690000,285060.0,37089.0,2.7322404371584726e-06,-7.824726134585279e-07,23.151515151515145,0.0,0.0
106,249783000,12048.0,2303.0,1.1243386243386239e-05,-9.736540664375712e-06,5.0,0.0,0.0
107,249982000,2804384.0,2316.0,2.5252525252525164e-06,-2.7777777777777677e-06,6.049999999999983,0.0,0.0
108,255804340,18971.0,1561.0,6.712962962962964e-06,-5.464480874316945e-06,62.53691275167785,0.0,0.0
109,255805750,9259.0,230.0,3.418803418803422e-06,-2.500000000000001e-05,22.000000000000078,0.0,0.0
110,255805776,15830.0,2478.0,1.5432098765432045e-06,-1.8518518518518453e-06,6.54545454545456,0.0,0.0
111,255805787,3054970.0,732.0,4.115226337448563e-06,-3.968253968254025e-06,38.57142857142857,0.0,0.0
112,255806037,2927634.0,540.0,1.5432098765432318e-06,-3.968253968254025e-06,6.499999999999986,0.0,0.0
113,255806170,11592.0,0.0,2.3148148148147657e-06,-1.1111111111111071e-05,6.8955223880596925,0.0,0.0
114,255806172,9634.0,1940.0,4.480286738351239e-07,-9.009009009009003e-07,1.4366197183098615,0.0,0.0
115,256062000,12432.0,1314.0,5.555555555555437e-06,-5.555555555555635e-06,16.499999999999986,0.0,0.0
116,256137000,18520.0,6190.0,1.461988304093562e-06,-2.3809523809523795e-06,18.300000000000065,0.0,0.0
117,256186000,18811.0,4661.0,2.4154589371980664e-06,-2.5000000000000006e-06,2.571428571428571,0.0,0.0
118,256204000,11461.0,2130.0,5.050505050505033e-06,-3.36700336700337e-06,11.454545454545423,0.0,0.0
119,256300000,13644.0,0.0,8.417508417508387e-07,-1.6339869281045406e-06,3.5294117647058822,0.0,0.0
120,256408000,18850.0,921.0,7.936507936507909e-07,-1.2077294685990296e-06,3.639344262295098,0.0,0.0
121,256604000,12558.0,0.0,4.629629629629695e-06,-7.716049382716159e-07,10.0,0.0,0.0
122,256886000,16626.0,2209.0,4.6296296296296135e-06,-2.3148148148148474e-06,9.000000000000057,0.0,0.0
